"data","rgn_id_2013","habitat","value"
"hab_extent",1,"coral",102.17
"hab_extent",2,"coral",1.7465
"hab_extent",5,"coral",4381.1
"hab_extent",6,"coral",459.33
"hab_extent",7,"coral",2197.97
"hab_extent",8,"coral",496.006
"hab_extent",9,"coral",3060.74
"hab_extent",10,"coral",3.493
"hab_extent",11,"coral",1789.29
"hab_extent",12,"coral",7.85926
"hab_extent",13,"coral",169.411
"hab_extent",14,"coral",330.962
"hab_extent",15,"coral",9668.63
"hab_extent",16,"coral",31682.4
"hab_extent",17,"coral",6471.66
"hab_extent",18,"coral",3011.84
"hab_extent",19,"coral",889.843
"hab_extent",24,"coral",29.6905
"hab_extent",25,"coral",155.439
"hab_extent",26,"coral",645.332
"hab_extent",28,"coral",160.678
"hab_extent",29,"coral",280.314
"hab_extent",30,"coral",165.918
"hab_extent",31,"coral",1428.64
"hab_extent",32,"coral",9.60576
"hab_extent",33,"coral",50.6485
"hab_extent",34,"coral",31.437
"hab_extent",35,"coral",6.11276
"hab_extent",36,"coral",6.11276
"hab_extent",37,"coral",654.065
"hab_extent",38,"coral",1767.46
"hab_extent",39,"coral",2634.6
"hab_extent",40,"coral",96.0576
"hab_extent",41,"coral",1496.75
"hab_extent",42,"coral",2066.98
"hab_extent",43,"coral",385.977
"hab_extent",44,"coral",341.441
"hab_extent",45,"coral",1323.85
"hab_extent",46,"coral",126.621
"hab_extent",47,"coral",574.599
"hab_extent",48,"coral",227.045
"hab_extent",49,"coral",602.543
"hab_extent",50,"coral",2712.32
"hab_extent",51,"coral",41.0428
"hab_extent",52,"coral",199.101
"hab_extent",54,"coral",121.382
"hab_extent",79,"coral",0.873251
"hab_extent",102,"coral",0.873251
"hab_extent",108,"coral",525.697
"hab_extent",110,"coral",1944.73
"hab_extent",111,"coral",159.805
"hab_extent",112,"coral",2484.4
"hab_extent",113,"coral",100.424
"hab_extent",114,"coral",246.257
"hab_extent",115,"coral",259.355
"hab_extent",116,"coral",177.27
"hab_extent",117,"coral",124.875
"hab_extent",118,"coral",20.0848
"hab_extent",119,"coral",34.0568
"hab_extent",120,"coral",38.423
"hab_extent",122,"coral",15.7185
"hab_extent",123,"coral",8.73251
"hab_extent",124,"coral",19.2115
"hab_extent",125,"coral",41.0428
"hab_extent",126,"coral",13.0988
"hab_extent",127,"coral",21.8313
"hab_extent",129,"coral",510.852
"hab_extent",130,"coral",55.888
"hab_extent",131,"coral",456.71
"hab_extent",132,"coral",882.857
"hab_extent",133,"coral",626.994
"hab_extent",135,"coral",907.308
"hab_extent",137,"coral",71.6066
"hab_extent",139,"coral",308.258
"hab_extent",140,"coral",128.368
"hab_extent",146,"coral",30.5638
"hab_extent",147,"coral",2537.67
"hab_extent",148,"coral",135.354
"hab_extent",150,"coral",63.7473
"hab_extent",151,"coral",34.0568
"hab_extent",152,"coral",138.847
"hab_extent",153,"coral",220.932
"hab_extent",154,"coral",5.2395
"hab_extent",155,"coral",898.575
"hab_extent",156,"coral",76.8461
"hab_extent",157,"coral",48.902
"hab_extent",158,"coral",7.85926
"hab_extent",159,"coral",72.4798
"hab_extent",161,"coral",378.118
"hab_extent",163,"coral",3968.92
"hab_extent",164,"coral",863.645
"hab_extent",166,"coral",351.92
"hab_extent",171,"coral",664.544
"hab_extent",190,"coral",155.439
"hab_extent",191,"coral",103.917
"hab_extent",202,"coral",1559.63
"hab_extent",203,"coral",1212.95
"hab_extent",204,"coral",3.493
"hab_extent",205,"coral",538.796
"hab_extent",206,"coral",1408.55
"hab_extent",207,"coral",364.146
"hab_extent",208,"coral",3.493
"hab_extent",209,"coral",261.102
"hab_extent",210,"coral",845.307
"hab_extent",212,"coral",1501.99
"hab_extent",214,"coral",1576.22
"hab_extent",215,"coral",1.7465
"hab_extent",216,"coral",15690.6
"hab_extent",220,"coral",1.7465
"hab_extent",221,"coral",9.60576
"hab_extent",231,"coral",16.5918
"hab_extent",237,"coral",1.7465
"hab_extent",244,"coral",17.465
"hab_extent",245,"coral",12.2255
"hab_extent",247,"coral",67.2403
"hab_extent",248,"coral",161.551
