"goal","score","status","future","trend","pressures","resilience"
"Index",70.89,,66.29,,,
"NP",35.67,36.15,35.19,-0.09,50.44,59.96
"AO",91.5,83,100,0.32,31.73,58.2
"FP",87.3,76.95,97.65,0.29,,
"MAR",0.08,0.08,0.08,0,33.98,44.16
"FIS",87.35,77,97.71,0.29,33.51,56.12
"BD",77.88,86.81,68.94,-0.38,,
"SPP",77.27,82.78,71.75,-0.26,38.6,50.28
"HAB",78.49,90.85,66.14,-0.49,36.27,54.24
"CW",66.95,74.72,59.17,-0.16,75.71,44.16
"SP",54.65,57.44,51.86,-0.17,,
"LSP",49.05,48.73,49.38,0.02,45.07,44.16
"ICO",60.25,66.15,54.34,-0.36,37.74,56.95
"LE",65.59,77.84,53.33,-0.5,,
"ECO",79.13,78.79,79.46,-0.04,35.52,46.54
"LIV",52.04,76.88,27.21,-0.96,36.3,34.77
"TR",96.62,100,93.24,0,65.57,44.16
"CP",76.26,79.68,72.85,-0.15,47.84,52.19
"CS",56.48,82.26,30.69,-1,39.15,52.19
