"goal","score","status","future","trend","pressures","resilience"
"Index",68.39,,63.26,,,
"NP",35.67,36.15,35.19,-0.09,50.44,59.96
"AO",46.42,44.48,48.35,0,31.73,58.2
"FP",87.3,76.95,97.65,0.29,,
"MAR",0.03,0.03,0.03,0,33.98,44.16
"FIS",87.35,77,97.71,0.29,33.51,56.12
"BD",78.06,86.81,69.31,-0.37,,
"SPP",77.27,82.78,71.75,-0.26,38.6,50.28
"HAB",78.85,90.85,66.86,-0.48,36.27,54.24
"CW",66.95,74.72,59.17,-0.16,75.71,44.16
"SP",73.7,76.26,71.15,-0.18,,
"LSP",96,96.15,95.86,0,45.07,44.16
"ICO",51.41,56.36,46.45,-0.36,37.74,56.95
"LE",65.59,77.84,53.33,-0.5,,
"ECO",79.13,78.79,79.46,-0.04,35.52,46.54
"LIV",52.04,76.88,27.21,-0.96,36.3,34.77
"TR",96.62,100,93.24,0,65.57,44.16
"CP",77.12,79.68,74.55,-0.12,47.84,52.19
"CS",56.48,82.26,30.69,-1,39.15,52.19
